Name of the Nucleophile,Nucleophile ID Number,Type Of Nucleophile,Solvent,N,sN,EHF,EDFT,ECORR,EHF(HOMO),EDFT(HOMO),ECORR(HOMO),EHF(LUMO),EDFT(LUMO),ECORR(LUMO),cHF,cDFT,cCORR,hHF,hDFT,hCORR,mHF,mDFT,mCORR,wHF,wDFT,wCORR,dHF,dDFT,dCORR,HHF,HDFT,HCORR,GHF,GDFT,GCORR,NBOHF,NBODFT,NBOCORR,Mol.Mass,Surface Area,Volume,Ovality,Diameter,RG,E*DFT,E*HF,E*CORR,E*DFT(HOMO),E*HF(HOMO),E*CORR(HOMO),E*DFT(LUMO),E*HF(LUMO),E*CORR(LUMO),c*DFT,c*HF,c*CORR,h*DFT,h*HF,h*CORR,m*DFT,m*HF,m*CORR,w*DFT,w*HF,w*CORR,d*DFT,d*HF,d*CORR,H*DFT,H*HF,H*CORR,G*DFT,G*HF,G*CORR
Benzotriazole,N1,N-Nucleophile,MeCN,7.690,0.760,-393.520,-395.975,-2.455,-0.331,-0.251,0.080,0.092,-0.056,-0.148,0.120,0.154,0.034,0.423,0.195,-0.228,-0.120,-0.154,-0.034,0.017,0.060,0.044,5.242,5.318,0.076,-246862.037,-248407.018,-1544.981,-246884.746,-248430.153,-1545.407,-0.302,-0.336,-0.034,119.124,160.340,163.497,1.109,8.386,1.894,-132.801,-131.970,-0.831,-0.341,-0.475,0.134,0.029,0.156,-0.127,0.156,0.160,-0.004,0.370,0.631,-0.261,-0.156,-0.160,0.003,0.033,0.020,0.013,4.728,4.934,-0.206,-83302.890,-82779.224,-523.666,-83320.775,-82796.997,-523.778
1-Methyl-benzotriazole ,N2,N-Nucleophile,MeCN,7.770,0.760,-432.561,-435.297,-2.736,-0.327,-0.247,0.080,-0.055,0.092,0.147,0.191,0.078,-0.114,0.272,0.339,0.067,-0.191,-0.078,0.114,0.067,0.009,-0.058,5.512,5.565,0.053,-271341.144,-273063.708,-1722.564,-271366.414,-273089.435,-1723.021,-0.011,-0.057,-0.046,133.151,183.302,192.450,1.137,9.607,2.064,-132.801,-131.970,-0.831,-0.341,-0.475,0.134,0.029,0.156,-0.127,0.156,0.160,-0.004,0.370,0.631,-0.261,-0.156,-0.160,0.004,0.033,0.020,0.013,4.728,4.934,-0.206,-83302.890,-82779.224,-523.666,-83320.775,-82796.997,-523.778
1-Phenyl-N-(phenylmethyl)methanimine ,N3,N-Nucleophile,Dichloromethane,7.900,0.760,-592.302,-596.211,-3.909,-0.327,-0.250,0.077,0.090,-0.056,-0.146,0.119,0.153,0.035,0.417,0.194,-0.223,-0.119,-0.153,-0.035,0.017,0.060,0.043,1.956,1.713,-0.243,-371512.715,-373974.881,-2462.166,-371546.498,-374009.963,-2463.465,-0.519,-0.459,0.060,195.260,283.506,312.461,1.273,13.573,3.503,-959.769,-958.050,-1.719,-0.317,-0.450,0.133,-0.024,0.135,-0.159,0.171,0.158,0.013,0.293,0.585,-0.292,-0.171,-0.158,-0.013,0.050,0.021,0.028,2.237,2.431,-0.194,-602243.077,-601163.243,-1079.834,-602262.364,-601182.385,-1079.979
1-Methyl uracil anion ,N4,N-Nucleophile,Water,8.540,0.770,-451.128,-453.773,-2.645,-0.313,-0.207,0.106,0.154,0.002,-0.152,0.080,0.103,0.023,0.467,0.209,-0.258,-0.080,-0.103,-0.023,0.007,0.025,0.018,12.447,11.431,-1.016,-283014.015,-284678.492,-1664.477,-283039.153,-284704.379,-1665.225,-0.853,-0.725,0.128,125.105,161.015,162.702,1.117,8.674,1.994,-76.455,-76.055,-0.400,-0.304,-0.505,0.201,0.040,0.164,-0.124,0.132,0.171,-0.039,0.344,0.669,-0.325,-0.132,-0.171,0.039,0.025,0.022,0.004,2.301,2.356,-0.055,-47960.306,-47708.291,-252.015,-47973.755,-47721.697,-252.058
N-methyl-1-phenylmethanimine ,N5,N-Nucleophile,Dichloromethane,8.600,0.770,-362.704,-365.104,-2.400,-0.328,-0.249,0.079,0.090,-0.053,-0.143,0.119,0.151,0.032,0.418,0.196,-0.222,-0.119,-0.151,-0.032,0.017,0.058,0.041,2.050,1.619,-0.431,-227495.325,-229007.138,-1511.813,-227520.537,-229033.368,-1512.831,-0.525,-0.456,0.069,119.164,194.099,201.264,1.169,10.502,2.352,-959.769,-958.050,-1.719,-0.317,-0.450,0.133,-0.024,0.135,-0.159,0.171,0.158,0.013,0.293,0.585,-0.292,-0.171,-0.158,-0.013,0.050,0.021,0.028,2.237,2.431,-0.194,-602243.077,-601163.243,-1079.834,-602262.364,-601182.385,-1079.979
N-phenylcyclohexanimine ,N6,N-Nucleophile,Dichloromethane,8.800,1.000,-517.689,-518.266,-0.577,-0.310,-0.130,0.180,0.130,0.014,-0.116,0.090,0.058,-0.032,0.440,0.144,-0.296,-0.090,-0.058,0.032,0.009,0.012,0.002,3.322,3.992,0.670,-324686.492,-325096.332,-409.840,-324715.056,-325124.956,-409.901,-0.611,-0.704,-0.093,168.215,238.739,261.438,1.208,11.910,2.799,-959.769,-958.050,-1.719,-0.317,-0.450,0.133,-0.024,0.135,-0.159,0.171,0.158,0.013,0.293,0.585,-0.292,-0.171,-0.158,-0.013,0.050,0.021,0.028,2.237,2.431,-0.194,-602243.077,-601163.243,-1079.834,-602262.364,-601182.385,-1079.979
2-Methyl-imidazole ,N7,N-Nucleophile,Water,9.450,0.540,-263.934,-265.620,-1.686,-0.319,-0.229,0.090,0.160,0.022,-0.138,0.080,0.104,0.024,0.479,0.251,-0.228,-0.080,-0.104,-0.024,0.007,0.021,0.015,4.915,4.802,-0.113,-165550.925,-166613.170,-1062.245,-165572.930,-166635.408,-1062.478,-0.603,-0.541,0.062,82.104,140.225,134.429,1.105,7.759,1.545,-76.455,-76.055,-0.400,-0.304,-0.505,0.201,0.040,0.164,-0.124,0.132,0.171,-0.039,0.344,0.669,-0.325,-0.132,-0.171,0.039,0.025,0.022,0.004,2.301,2.356,-0.055,-47960.306,-47708.291,-252.015,-47973.755,-47721.697,-252.058
Ammonia ,N8,N-Nucleophile,Water,9.480,0.590,-56.216,-56.581,-0.365,-0.430,-0.268,0.162,0.164,0.045,-0.119,0.133,0.112,-0.022,0.594,0.313,-0.281,-0.133,-0.112,0.022,0.015,0.020,0.005,2.002,2.003,0.001,-35250.801,-35481.531,-230.730,-35264.474,-35495.236,-230.762,-1.025,-1.043,-0.018,17.031,61.170,43.827,1.018,4.019,0.423,-76.455,-76.055,-0.400,-0.304,-0.505,0.201,0.040,0.164,-0.124,0.132,0.171,-0.039,0.344,0.669,-0.325,-0.132,-0.171,0.039,0.025,0.022,0.004,2.301,2.356,-0.055,-47960.306,-47708.291,-252.015,-47973.755,-47721.697,-252.058
N-phenylpropan-2-imine ,N9,N-Nucleophile,Dichloromethane,9.530,0.850,-401.756,-404.435,-2.679,-0.314,-0.225,0.089,0.128,-0.021,-0.149,0.093,0.123,0.030,0.442,0.204,-0.238,-0.093,-0.123,-0.030,0.010,0.037,0.027,3.004,2.808,-0.196,-251981.267,-253669.526,-1688.259,-252010.044,-253699.071,-1689.027,-0.595,-0.501,0.094,133.190,214.028,229.311,1.182,10.554,2.385,-959.769,-958.050,-1.719,-0.317,-0.450,0.133,-0.024,0.135,-0.159,0.171,0.158,0.013,0.293,0.585,-0.292,-0.171,-0.158,-0.013,0.050,0.021,0.028,2.237,2.431,-0.194,-602243.077,-601163.243,-1079.834,-602262.364,-601182.385,-1079.979
Imidazole ,N10,N-Nucleophile,Water,9.630,0.570,-224.882,-226.288,-1.406,-0.328,-0.239,0.089,0.165,0.020,-0.145,0.082,0.110,0.028,0.493,0.259,-0.234,-0.082,-0.110,-0.028,0.007,0.023,0.016,4.918,4.816,-0.102,-141064.571,-141950.034,-885.463,-141083.774,-141969.418,-885.643,-0.587,-0.530,0.057,68.077,115.406,105.557,1.069,6.613,1.246,-76.455,-76.055,-0.400,-0.304,-0.505,0.201,0.040,0.164,-0.124,0.132,0.171,-0.039,0.344,0.669,-0.325,-0.132,-0.171,0.039,0.025,0.022,0.004,2.301,2.356,-0.055,-47960.306,-47708.291,-252.015,-47973.755,-47721.697,-252.058
